ime,obshtina,moshtnost
"ФтЕЦ ""Пиперково""",община Ценово,0.08424
"ФтЕЦ ""ИБВ - Солар""",община Марица,0.198
"ФтЕЦ ""ИВ-2 - Секирово""",община Раковски,0.01586
"ФтЕЦ ""Бракница""",община Попово,0.0648
"ФтЕЦ ""Асен""",община Тетевен,0.1755
"ФтЕЦ ""Ива Солар 77""",община Бяла Слатина,0.0972
"ФтЕЦ ""Крислово""",община Марица,0.043
"ФтЕЦ ""Извор Г""",община Харманли,0.06815
"ФтЕЦ ""Изоа""",община Търговище,0.483
"ФтЕЦ ""Икел""",община Кърджали,0.02964
"ФтЕЦ ""Илиос""",община Невестино,0.13
"ФтЕЦ ""Малево""",община Чепеларе,0.07098
"ФтЕЦ ""Юделник""",община Сливо поле,0.08424
"ФтЕЦ ""Равна гора""",община Аврен,4.99
"ФтЕЦ ""Инджелиеви - Бояново""",община Елхово,2.0
"ФтЕЦ ""Пе Еко 2""",община Сандански,0.3
"ФтЕЦ ""Индустриал Солар""",община Столична,0.03
"ФтЕЦ ""Инигал - Атолово""",община Стралджа,0.00648
"ФтЕЦ ""Инниммо Солар - Ямбол""",община Ямбол,5.0
"ФтЕЦ ""Марица 21""",община Пловдив,0.01944
"ФтЕЦ ""Пауново-1""",община Ихтиман,1.002
"ФтЕЦ ""Интерагро - Недялско""",община Стралджа,0.02
"ФтЕЦ ""Стоб""",община Кочериново,0.01197
"ФтЕЦ ""Исена""",община Любимец,0.40128
"ФтЕЦ ""Искра""",община Брезово,0.07776
"ФтЕЦ ""ИТТ - Стара Загора""",община Стара Загора,0.194
"ФтЕЦ ""Елховец""",община Рудозем,0.0784
"ФтЕЦ ""Йордан Мишев - Ямбол""",община Ямбол,0.1992
"ФтЕЦ ""Вило - Ситово""",община Ситово,3.43
"ФтЕЦ ""Геран - Калипетрово""",община Силистра,1.6
"ФтЕЦ ""Монтан - Айдемир""",община Силистра,3.0
"ФтЕЦ ""Океан - Айдемир""",община Силистра,1.842
"ФтЕЦ ""Ренар - Айдемир""",община Силистра,3.0
"ФтЕЦ ""Фокс - Ситово""",община Ситово,3.91
"ФтЕЦ ""Табачка - 1""",община Иваново,0.07812
"ФтЕЦ ""Ветово""",община Ветово,0.05566
"ФтЕЦ ""Камено Иновейшън 1""",община Камено,2.797
"ФтЕЦ ""Камено Иновейшън""",община Камено,2.14896
"ФтЕЦ ""Кестрел""",община Сандански,2.59596
"ФтЕЦ ""Калисто инженеринг - 1""",община Велинград,0.07196
"ФтЕЦ ""Каменар Солар 1""",община Поморие,1.2032
"ФтЕЦ ""Каменар Солар 2""",община Поморие,1.0528
"ФтЕЦ ""Кан Газ - Православ""",община Братя Даскалови,0.132
"ФтЕЦ ""Кантилена""",община Сандански,1.99992
"ФтЕЦ ""Каменар ПВ 1""",община Поморие,1.0152
"ФтЕЦ ""Каменар ПВ 2""",община Поморие,1.2032
"ФтЕЦ ""Орешец - 6""",община Димово,0.2
"ФтЕЦ ""Караиванови Комерсиал - 1""",община Тополовград,0.03
"ФтЕЦ ""Караиванови Комерсиал - 2""",община Тополовград,0.03
"ФтЕЦ ""Караиванови Комерсиал - 3""",община Тополовград,0.03
"ФтЕЦ ""Карс Енерджи - Сливен""",община Сливен,0.18988
"ФтЕЦ ""Камено Солар 2""",община Камено,1.0
"ФтЕЦ ""Камено Солар 1""",община Камено,1.0
"ФтЕЦ ""Скай Солар""",община Петрич,2.75
"ФтЕЦ ""Цар Калоян""",община Цар Калоян,0.075
"ФтЕЦ ""Духовец""",община Исперих,0.1
"ФтЕЦ ""Калина""",община Столична,0.005
"ФтЕЦ ""КДМ Инвест""",община Симеоновград,0.03
"ФтЕЦ ""К и Джи фамилия - Ямбол""",община Ямбол,0.03
"ФтЕЦ ""Фотосоларен парк Лом 1""",община Лом,4.999
"ФтЕЦ ""Камено Енерджи Проджект""",община Камено,1.781
"ФтЕЦ ""Добрич""",община Добрич,14.071
"ФтЕЦ ""КО ИН КО - Стара Загора""",община Стара Загора,0.08
"ФтЕЦ ""Кери - Оризаре""",община Несебър,0.0198
"ФтЕЦ ""Корина Експорт""",община Иваново,0.02592
"ФтЕЦ ""Камея Солар""",община Карлово,0.015
"ФтЕЦ ""Каменар Санпауър""",община Поморие,1.6168
"ФтЕЦ ""Свещари""",община Исперих,0.00499
"ФтЕЦ ""Коцаков""",община Разлог,0.302
"ФтЕЦ ""Инком""",община Брезово,0.2
"ФтЕЦ ""Изток 1""",община Харманли,2.5
"ФтЕЦ ""Запад 2""",община Харманли,2.5
"ФтЕЦ ""Пчеларово""",община Генерал Тошево,0.18825
"ФтЕЦ ""Каравелово Солар""",община Тунджа,2.2
"ФтЕЦ ""Креми - Веселие""",община Приморско,0.02
"ФтЕЦ ""Креми - Приселци""",община Несебър,0.03
"ФтЕЦ ""Креми - Приселци 2""",община Несебър,0.025
"ФтЕЦ ""Креми - Приселци 3""",община Несебър,0.025
"ФтЕЦ ""Креми - Приселци 4""",община Несебър,0.03
"ФтЕЦ ""Калрейс - Габарево""",община Павел баня,1.7
"ФтЕЦ ""Крилия""",община Казанлък,0.03
"ФтЕЦ ""Кремък - Хрищени 7""",община Стара Загора,0.19943
"ФтЕЦ ""Кремък - Хрищени 42""",община Стара Загора,0.19943
"ФтЕЦ ""Крумово Солар""",община Тунджа,2.0
"ФтЕЦ ""Дебър - Кей Си""",община Първомай,0.075
"ФтЕЦ ""Коси Транс - 2""",община Опан,0.14904
"ФтЕЦ ""Коси Транс""",община Опан,0.14904
"ФтЕЦ ""Кубера - Татарево""",община Минерални бани,0.03
"ФтЕЦ ""Калудов""",община Карнобат,0.07992
"ФтЕЦ ""Кукорево 1 Солар""",община Тунджа,4.0
"ФтЕЦ ""Кукорево 3 Солар""",община Тунджа,2.5
"ФтЕЦ ""Кукорево 2 Солар""",община Тунджа,1.7
"ФтЕЦ ""Куминяно Фрут""",община Садово,0.2
"ФтЕЦ ""Куш Инвест - Равадиново""",община Созопол,1.50936
"ФтЕЦ ""Кристех - Пазарджик""",община Пазарджик,0.03
"ФтЕЦ ""Макреш 2""",община Макреш,0.35672
"ФтЕЦ ""Лайт - Челник""",община Тунджа,3.2
"ФтЕЦ ""Соларбилд - Светослав""",община Стамболово,0.08
"ФтЕЦ ""Обретеник""",община Борово,0.19868
"ФтЕЦ ""Лайков Солар 1 - Харманли""",община Харманли,0.03
"ФтЕЦ ""Лайков Солар 2 - Харманли""",община Харманли,0.03
"ФтЕЦ ""Лайков Сервиз - Харманли""",община Харманли,0.03
"ФтЕЦ ""Лайков Солар - Харманли""",община Харманли,0.03
"ФтЕЦ ""ЛА - Яна Илиева""",община Съединение,0.0987
"ФтЕЦ ""Лериан - Мъглиж""",община Мъглиж,0.0756
"ФтЕЦ ""Могилино - 3""",община Две могили,0.10575
"ФтЕЦ ""Лендхилс - Верен""",община Братя Даскалови,0.2
"ФтЕЦ ""Ел Джи Солар - Светослав""",община Стамболово,0.09072
"ФтЕЦ ""Лин - Маленово""",община Стралджа,0.1034
"ФтЕЦ ""Ликор - Българска поляна 2""",община Тополовград,0.03
"ФтЕЦ ""Ликор - Хлябово 4""",община Тополовград,0.03
"ФтЕЦ ""Лили - с. Люляк""",община Стара Загора,0.01
"ФтЕЦ ""Инел""",община Симитли,0.09
"ФтЕЦ ""Златица""",община Златица,0.066
"ФтЕЦ ""Елима""",община Айтос,0.15
"ФтЕЦ ""Ел Ен Ди - Маленово""",община Стралджа,0.07038
"ФтЕЦ ""Локос - 78""",община Първомай,0.05148
"ФтЕЦ ""Автосервиз""",община Каварна,0.041
"ФтЕЦ ""Логи - Док""",община Хасково,0.03
"ФтЕЦ ""Лукойл""",община Камено,1.25
"ФтЕЦ ""ЛПЗ Спахиево 1""",община Минерални бани,0.02
"ФтЕЦ ""ЛПЗ Спахиево 2""",община Минерални бани,0.03
"ФтЕЦ ""ЛПЗ Спахиево""",община Минерални бани,0.03
"ФтЕЦ ""Ланд трейд - Заберново""",община Малко Търново,0.99099
"ФтЕЦ ""Ланд Трейд - Кръстина""",община Камено,1.46076
"ФтЕЦ ""Лукови""",община Калояново,0.03
"ФтЕЦ ""Могилино - 5""",община Две могили,0.103
"ФтЕЦ ""Зограф""",община Генерал Тошево,0.07452
"ФтЕЦ ""Луцифер""",община Търговище,0.08
"ФтЕЦ ""Малък Извор""",община Стамболово,0.2
"ФтЕЦ ""Мар Инвест 2009""",община Бяла Слатина,0.0972
"ФтЕЦ ""Макроком - Деел - Сливен""",община Сливен,0.198
"ФтЕЦ ""Малина Сън Енерджи - Малина""",община Средец,0.07296
"ФтЕЦ ""Златоград""",община Златоград,0.027495
"ФтЕЦ ""Мария Мардова - Братя Даскалови""",община Братя Даскалови,0.09982
"ФтЕЦ ""Макс Иновейшънс""",община Минерални бани,0.0522
"ФтЕЦ ""Калояново""",община Калояново,0.04392
"ФтЕЦ ""Манком""",община Брезово,0.15
"ФтЕЦ ""Мантекила Пауър""",община Марица,0.12096
"ФтЕЦ ""Марвел - Чирпан""",община Чирпан,0.1
"ФтЕЦ ""Маркус - Стоил войвода""",община Нова Загора,2.0
"ФтЕЦ ""Марвик - Лисово""",община Свиленград,1.93
"ФтЕЦ ""Марти""",община Симитли,0.015
"ФтЕЦ ""МБАЛ - Сливен""",община Сливен,0.01
"ФтЕЦ ""77.76""",община Карлово,0.0777
"ФтЕЦ ""Меджик роуз""",община Септември,0.07992
"ФтЕЦ ""Мениджпроект""",община Летница,4.0
"ФтЕЦ ""МДИ - Солар""",община Любимец,0.0608
"ФтЕЦ ""Меден кладенец Солар""",община Тунджа,1.7
"ФтЕЦ ""МД Солар - Медвен""",община Котел,1.0
"ФтЕЦ ""Ем Джи Солар Системс""",община Сливен,4.7
"ФтЕЦ ""Мезек Биоенерджи""",община Свиленград,0.076
"ФтЕЦ ""Мелком - Крушаре""",община Сливен,0.9
